Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,128,128,4096,11008,11008.0,89.69,280.8,2.46,38.23,41.11,48.92,compute
IntelGaudi2C,BF16,2,128,128,4096,11008,22016.0,93.38,280.8,2.46,39.8,82.21,94.88,compute
IntelGaudi2C,BF16,4,128,128,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,8,128,128,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,16,128,128,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,32,128,128,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,64,128,128,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,128,128,128,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,256,128,128,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,512,128,128,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,128,128,4096,11008,11008.0,89.69,280.8,2.46,38.23,41.11,48.92,compute
IntelGaudi2C,BF16,2,128,128,4096,11008,22016.0,93.38,280.8,2.46,39.8,82.21,94.88,compute
IntelGaudi2C,BF16,4,128,128,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,8,128,128,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,16,128,128,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,32,128,128,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,64,128,128,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,128,128,128,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,256,128,128,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,512,128,128,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,512,512,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,2,512,512,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,4,512,512,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,8,512,512,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,16,512,512,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,32,512,512,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,64,512,512,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,128,512,512,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
IntelGaudi2C,BF16,256,512,512,4096,11008,11272192.0,3862.0,280.8,2.46,1646.18,42093.13,38688.13,compute
IntelGaudi2C,BF16,512,512,512,4096,11008,22544384.0,7638.0,280.8,2.46,3255.7,84186.25,77339.6,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,512,512,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,2,512,512,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,4,512,512,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,8,512,512,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,16,512,512,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,32,512,512,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,64,512,512,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,128,512,512,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
IntelGaudi2C,BF16,256,512,512,4096,11008,11272192.0,3862.0,280.8,2.46,1646.18,42093.13,38688.13,compute
IntelGaudi2C,BF16,512,512,512,4096,11008,22544384.0,7638.0,280.8,2.46,3255.7,84186.25,77339.6,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,1024,1024,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,2,1024,1024,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,4,1024,1024,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,8,1024,1024,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,16,1024,1024,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,32,1024,1024,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,64,1024,1024,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
IntelGaudi2C,BF16,128,1024,1024,4096,11008,11272192.0,3862.0,280.8,2.46,1646.18,42093.13,38688.13,compute
IntelGaudi2C,BF16,256,1024,1024,4096,11008,22544384.0,7638.0,280.8,2.46,3255.7,84186.25,77339.6,compute
IntelGaudi2C,BF16,512,1024,1024,4096,11008,45088768.0,15190.0,280.8,2.46,6474.74,168372.51,154642.55,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,1024,1024,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,2,1024,1024,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,4,1024,1024,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,8,1024,1024,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,16,1024,1024,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,32,1024,1024,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,64,1024,1024,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
IntelGaudi2C,BF16,128,1024,1024,4096,11008,11272192.0,3862.0,280.8,2.46,1646.18,42093.13,38688.13,compute
IntelGaudi2C,BF16,256,1024,1024,4096,11008,22544384.0,7638.0,280.8,2.46,3255.7,84186.25,77339.6,compute
IntelGaudi2C,BF16,512,1024,1024,4096,11008,45088768.0,15190.0,280.8,2.46,6474.74,168372.51,154642.55,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,2048,2048,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,2,2048,2048,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,4,2048,2048,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,8,2048,2048,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,16,2048,2048,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,32,2048,2048,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
IntelGaudi2C,BF16,64,2048,2048,4096,11008,11272192.0,3862.0,280.8,2.46,1646.18,42093.13,38688.13,compute
IntelGaudi2C,BF16,128,2048,2048,4096,11008,22544384.0,7638.0,280.8,2.46,3255.7,84186.25,77339.6,compute
IntelGaudi2C,BF16,256,2048,2048,4096,11008,45088768.0,15190.0,280.8,2.46,6474.74,168372.51,154642.55,compute
IntelGaudi2C,BF16,512,2048,2048,4096,11008,90177536.0,30294.0,280.8,2.46,12912.83,336745.01,309248.44,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,2048,2048,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,2,2048,2048,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,4,2048,2048,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,8,2048,2048,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,16,2048,2048,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,32,2048,2048,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
IntelGaudi2C,BF16,64,2048,2048,4096,11008,11272192.0,3862.0,280.8,2.46,1646.18,42093.13,38688.13,compute
IntelGaudi2C,BF16,128,2048,2048,4096,11008,22544384.0,7638.0,280.8,2.46,3255.7,84186.25,77339.6,compute
IntelGaudi2C,BF16,256,2048,2048,4096,11008,45088768.0,15190.0,280.8,2.46,6474.74,168372.51,154642.55,compute
IntelGaudi2C,BF16,512,2048,2048,4096,11008,90177536.0,30294.0,280.8,2.46,12912.83,336745.01,309248.44,compute
,,,,,,,,,,,,,,
